,Date,Event,Country,Researcher/Mission
0,1610,"First telescopic observation of the night sky: discovery of the Galilean moons, lunar craters and the phases of Venus.",Venice,Galileo Galilei
1,1668,First reflecting telescope.,England,Isaac Newton
2,1781,First telescopic discovery of planet (Uranus).,Great Britain,William Herschel
3,1801,First discovery of asteroid (Ceres).,Sicily,Giuseppe Piazzi
4,1813,First exposition of the rocket equation based on Newton's third law of motion: Treatise on the Motion of Rockets.,UK,William Moore
5,1840,First clear telescopic photograph of another world: the Moon.,United States,John William Draper
6,1845,"First proper observation of other galaxies which are termed ""whirlpool nebulae"".",UK,William Parsons
7,1861,A Journey Through Space makes first proposal of using rockets for space flight.,UK,William Leitch
8,1895,First proposal of space elevator.,Russia,Konstantin Tsiolkovsky
9,1903,"Publication of Exploration of the Universe with Rocket-Propelled Vehicles[1] that showed physical space exploration was theoretically possible, including the Tsiolkovsky rocket equation, multi staged rockets and using liquid oxygen and liquid hydrogen in liquid propellant",Russia,Konstantin Tsiolkovsky
10,1914,Goddard files for and is subsequently awarded U.S. patents on multistage and liquid-fueled rockets.,United States,Robert H. Goddard
11,1917,First observation of an extrasolar planet (exoplanet) round Van Maanen 2 although it is not recognised as such at the time.,Netherlands,Adriaan van Maanen
12,1919,"Goddard's widely influential paper ""A Method of Reaching Extreme Altitudes"" discussed solid- and liquid-fueled rocketry.",United States,Robert H. Goddard
13,15 December 1923,"Die Rakete zu den Planetenräumen (""By Rocket into Planetary Space"") self-published after its rejection as a doctoral thesis.",Germany,Hermann Oberth
14,1924,Society for Studies of Interplanetary Travel founded.,USSR,"Members include Konstantin Tsiolkovsky, Friedrich Zander, Yuri Kondratyuk"
15,16 March 1926,Goddard launches the first liquid-fueled rocket.,United States,Robert H. Goddard
16,1927,Verein für Raumschiffahrt (Society for Space Travel) formed; it includes many top European rocket scientists.,Germany,
17,1927,Завоевание межпланетных пространств (The Conquest of Interplanetary Space) discusses rocket mechanics and orbital effects including the gravitational slingshot.,USSR,Yuri Kondratyuk
18,1928,Das Problem der Befahrung des Weltraums – der Raketen-Motor (The Problem of Space Travel – The Rocket Motor) discusses space travel and its potential uses for scientific experiments.,Germany,Herman Potočnik
19,January 1933,British Interplanetary Society founded.,UK,Philip E. Cleator
20,April 1933,First detection of radio waves from an astronomical object.,United States,Karl Jansky
21,September 1933,Establishment of the Soviet rocket research lab Reactive Scientific Research Institute (RNII)  by combining the Group for the Study of Reactive Motion (GIRD) with the Gas Dynamics Laboratory (GDL).,USSR,Key people Sergei Korolev & Valentin Glushko
